titles,category
두산에너빌리티  가스터빈 로터 수명   년 연장 계약 체결,Industry
  렌터카  자원순환 데이터 플랫폼  같다 와 업무협약,Industry
아마존     반독점 규제에  아이로봇  인수 포기,Industry
와이바이오로직스  이뮨온시아와 면역항암제 공동 개발,Industry
이차전지 부품 생산현장 방문한 이석문 세관장,Industry
 게시판  쿠쿠  사회복지공동모금회에  천만원 기부,Industry
     학계와 함께    후보 주파수 대역 연구,Industry
         시대  본격 준비,Industry
        실측 및 시뮬레이션으로 주파수 망 구조 연구,Industry
수백만원 산후조리원은 기본         한국 출산율 낮은 이유 알겠네 ,Industry
 인사  산업통상자원부,Industry
이차전지 부품 생산현장 방문한 이석문 세관장,Industry
휴니드    통신시장 개척 위해 영국과 손잡았다 ,Industry
태광그룹  인간다움 에 주목한 전시회 열려요 ,Industry
한국교통안전공단   안전보건 관리  국제 수준 인증,Industry
윤홍근     회장  공채 신입사원 사령장 전달  글로벌 인재로 역할 ,Industry
절규하는 기업인들     년 뒤면   기업 모두 공중분해       플러스 ,Industry
  하이닉스  인텔    와  빛의 반도체  개발한다,Industry
     여개 브랜드 최대       무신사   설날 빅세일  진행,Industry
이글루코퍼레이션        데이터바우처 지원사업 공급기업  선정    년 연속,Industry
현대오토에버  설 앞두고 협력사 대금    억 조기 지급,Industry
브릿지바이오  독립외부기관서         지속 개발 권고 경쟁력 방증 ,Industry
태광그룹 세화미술관  논알고리즘 챌린지  전시회 개최,Industry
 게시판       첨단 드론 활용 글로벌 아이디어 공모전,Industry
밀리의 서재  창비와 첫 공급계약  베스트셀러 확보 속도 ,Industry
자생한방병원  아시아나항공과  해외 환자 유치      체결,Industry
두산에너빌리티  남부발전과 가스터빈 로터  기 수명연장 계약,Industry
올해  월 졸업 예정자  명중  명만 취직,Industry
 오늘의신상    삼립  마법의 딸기 콜라보 베이커리  종  ,Industry
      체험형 메타버스 교육 콘텐츠 제작,Industry
브릿지바이오  폐섬유증 치료 신약   독립 모니터링   임상 지속 권고 ,Industry
식음료업계  건강과 맛을 동시에 챙기며  헬시플레저  트렌드 정조준,Industry
      중소 협력사에 납품대금    억원 조기 지급,Industry
      동아사이언스와 메타버스 교육 콘텐츠 공동 제작,Industry
식품업계  고물가 시대 소비자 부담 덜어주는 다양하고 실속 있는 구성 선물세트 출시,Industry
    리벨리온에    억원 추가 투자   동맹 강화,Industry
한미    그룹 통합  향후 부광약품 매각 가능성은 ,Industry
헥토헬스케어  체지방 감소 유산균 혼합물 연구 결과    급 저널 게재,Industry
 단순 만남  억측 말길   정용진이 만남 자랑한  이 모델 ,Industry
 클릭  종목  금호석유 낮은     주목 목표가 유지 ,Industry
  한마음재단  인천지역서 미래 인재 육성 지원 나서,Industry
한국필립모리스  첫 아이코스 구매 고객 대상  아이코스 일루마 웰컴 프로그램  운영,Industry
수원시  소상공인 경영환경개선 지원사업  참여자 모집,Industry
           보통작업용 경량안전화          판매 호조,Industry
      중소 협력사 납품대급    억원 조기 지급,Industry
              업그레이드된 보통작업용 안전화          출시 후 순항,Industry
설날 차례상차림 이것 모르면 손해 온누리상품권 최대     할인,Industry
룰루메딕  러시아 환자에   비대면 진료 시스템 수출,Industry
뷰노  심정지 예측     뷰노메드 딥카스   출시 후 최다 신규 계약 ,Industry
 반도체 배치설계권 도 특허청 분쟁조정위에 조정 신청하세요,Industry
대웅제약 보툴리눔 톡신  미용 넘어  치료 적응증  진출에 속도,Industry
클리노믹스  암 조기진단 매출 시작    유럽시장서 대장암 조기진단 확대 ,Industry
현대오토에버  설 맞아 협력사 대금    억 조기 지급,Industry
두산에너빌리티  남부발전과 가스터빈 로터  기 수명연장  맞손 ,Industry
두산에너빌리티  가스터빈 로터  기 수명연장 계약 체결,Industry
지앤비패럴랙스교육  차세대 교육플랫폼  지플럼  영어 출시,Industry
 얼음도 잘 갈리네  테팔  블렌더  퍼펙트 믹스 플러스  출시,Industry
 영유아 노래 강좌 확대  갤러리아   문화센터 봄학기  회원 모집,Industry
동원    건기식        설 맞이 최대     할인 기획전,Industry
    데일리샷과 손잡고  주류 픽업  서비스 확대,Industry
롯데칠성   책임 있는 음주를 위한 국제연합 에 가입,Industry
  그룹  리벨리온에    억 추가 투자    동맹 강화,Industry
뷰노메드 딥카스  월간 최다 신규 계약 체결     개 병상 추가 확보,Industry
    층 짜리 빌딩이 바다위에  타이태닉  배 세계 최대 크루즈선,Industry
두산에너빌리티  가스터빈 로터  기 수명연장 계약 체결,Industry
갤럭시     시리즈 매력에  풍덩 ,Industry
 갤럭시    카메라 체험해요 ,Industry
태광그룹 세화미술관   논알고리즘 챌린지  최종 전시회 개최,Industry
 갤럭시   로 찍는 셀카는 어떨까  ,Industry
뚜껑도 안 땄는데   중국산 고량주에 이게 뭐지,Industry
     재활용 친환경 디자인 표준 도입 연간    그루 식수 효과,Industry
 온도 시간 알아서 척척  풀무원  에어프라이어 선봬,Industry
모바일    시대 열린다 갤럭시     글로벌 공식 출시,Industry
  그룹 리벨리온에    억 투자     생태계 강화,Industry
두산에너빌리티  가스터빈 로터  기 수명   년 연장 계약,Industry
삼표피앤씨 청주공장  안전개선 활동 모범사례 현장 선정,Industry
지난해 위스키 수입  만  돌파  사상 최대  와인은     급감,Industry
태광그룹 세화미술관   인간다움  주목한 전시회 개최,Industry
삼성전자   갤럭시     시리즈  전세계 본격 출시,Industry
 갤럭시   에 푹 빠지다 ,Industry
생활폐기물 수거도 관리    렌터카   같다 와 스마트 관제 솔루션 맞손,Industry
한국후지필름    클라우드 기반 올인원 협업 플랫폼 출시,Industry
에버랜드 판다 갤러리  오픈   일 만에 관람객  만명 돌파,Industry
  판토스  물류센터 지붕에 태양광 발전소 설치한다,Industry
데이비드 베컴 방한  아디다스 프레데터   주년 전시회 참석,Industry
갤럭시     향한 관심,Industry
 에 마련된  갤럭시      체험 공간,Industry
 갤럭시     체험하러 왔어요 ,Industry
 중국 귀환 전 보자  에버랜드  푸바오  인기에  오픈런 ,Industry
배민스토어  전통시장 서비스 개시  시간 내 배달,Industry
태광그룹 세화미술관   논알고리즘 챌린지  전시회 개최,Industry
 글로벌 인재 키운다  지엠한마음재단  인천 청소년 대상 프로그램 제공,Industry
삼성전자   갤럭시    시리즈    일 전세계 출시,Industry
인터파크트리플   설 연휴 해외여행 트렌드  발표 중 단거리 인기,Industry
신세계까사  설 신학기 앞두고 학생가구 매출     ,Industry
두산에너빌리티  가스터빈 로터  기 수명연장 계약 체결,Industry
  번가   간편밥상  전문관 선봬  한끼 식사부터 디저트까지 ,Industry
두산에너빌리티  남부발전과 가스터빈 로터  기 수명연장 계약,Industry
 침실 분위기 확  에이스침대  현대 몰  프레임  종  라이브 방송,Industry
   글라스  북미 최대 바닥재전시회서 친환경 기술력 과시,Industry
두산에너빌리티  가스터빈 로터  기 수명연장 계약,Industry
모두의주차장  작년 거래액    억원 돌파 주차권 구매     증가,Industry
더벤처스  작년   개 스타트업에   억원 투자 ,Industry
  판토스  한국동서발전과  친환경 재생에너지 생산  맞손,Industry
두산에너빌리티  가스터빈 로터 수명연장 계약 체결,Industry
 명절 인기 상품 최대       롯데온  설 맞이  온세일 ,Industry
 내 후임이 중고신입이라면     직장인    는  같은 반응 ,Industry
      신형     도입 금융 서비스 공백 메운다,Industry
  판토스  한국동서발전과 친환경 재생에너지 생산  맞손 ,Industry
태광그룹 세화미술관  인간다움 주목한  논알고리즘 챌린지  전,Industry
대웅제약 보툴리눔 톡신    치료 시장 진입 가시화,Industry
캐딜락   호남 거점 역할  광주전시장 이전 오픈,Industry
중진공  창립   주년 진주 이전   주년 기념식 개최,Industry
리벨리온      억원 규모 시리즈  투자 유치 완료,Industry
변호사 위한   법률비서  슈퍼로이어  개발 속도 법제처 현장 간담회,Industry
롯데칠성       국내기업 최초 가입  책임있는 주류문화 선도 ,Industry
 부산소식  수산기관 업계 대표  기후변화 등 논의,Industry
뷰노  뷰노메드 딥카스  월간 최다 신규 계약 및 병상 수 확보 ,Industry
    주류 픽업 더 편하게 하세요  데일리샷과 협업,Industry
 잠자던  낸드 깨어날까  세계  위 낸드 회사  재고  년만 최저       플러스 ,Industry
태광그룹 세화미술관  논알고리즘 챌린지  전시회 개최,Industry
직무 능력보다 경험이 중요  중고신입  선호 ,Industry
롯데마트  와인 애호가 위한 보틀벙커 멤버십 서비스 출시,Industry
 발베니 맥캘란  년 등 위스키  종 확보  세븐일레븐   위스키런 ,Industry
      부피 줄인 신형     도입  금융 서비스 강화 ,Industry
에버랜드 판다 갤러리  바오 하우스  관람객  만명 돌파,Industry
세븐일레븐  인기 위스키  종 할인 구독 서비스도 출시,Industry
롯데   명절 보랭 가방 반납  엘포인트     점 드려요 ,Industry
   로 심정지 예측  뷰노메드 딥카스  시장 확대 박차,Industry
대웅제약 보툴리눔 톡신  미국 치료적응증 시장 진입 속도,Industry
존리 대표가 강조하는  불확실성 시대  경제 독립 비법,Industry
갤럭시      전 세계 사전 판매 두 자릿수 성장률   울트라    ,Industry
에버랜드  바오하우스  오픈 열흘 만에 관람객  만명 돌파,Industry
와이바이오로직스  이뮨온시아와 면역항암제 공동 연구,Industry
첫 실적 발표 코오롱모빌리티그룹 매출    조 영업익    억,Industry
리노스   폴라리스   로 사명 변경  사업 확장  폴라리스오피스그룹 시너지 기대 ,Industry
중진공  창립   주년 진주 이전   주년 기념식 개최,Industry
설 상차림 부담 줄인다 온누리상품권 최대     할인 판매,Industry
키움     바이오팜 목표가  올해 이익 흑자전환 기조 이어질 것 ,Industry
  판토스  한국동서발전과 친환경 재생에너지 생산 협력,Industry
